name,token,normalizedName
Housing & Urban Development Corporation Ltd,540530,housing urban development corporation
PSP Projects Ltd,540544,psp projects
Bhakti Gems and Jewellery Ltd,540545,bhakti gems and jewellery
Yug Decor Ltd,540550,yug decor
Variman Global Enterprises Ltd,540570,variman global enterprises
Star Cement Ltd,540575,star cement
Riddhi Corporate Services Ltd,540590,riddhi corporate services
Tejas Networks Ltd,540595,tejas networks
Eris Lifesciences Ltd,540596,eris lifesciences
Containerway International Ltd,540597,containerway international
GTPL Hathway Ltd,540602,gtpl hathway
AU Small Finance Bank Ltd,540611,au small finance bank
Gautam Exim Ltd,540613,gautam exim
G G Engineering Ltd,540614,g g engineering
7NR Retail Ltd,540615,7nr retail
Bhagyanagar Properties Ltd,540621,bhagyanagar properties
Salasar Techno Engineering Ltd,540642,salasar techno engineering
Ganges Securities Ltd,540647,ganges securities
Palash Securities Ltd,540648,palash securities
Avadh Sugar & Energy Ltd,540649,avadh sugar energy
Magadh Sugar & Energy Ltd,540650,magadh sugar energy
Jigar Cables Ltd,540651,jigar cables
Captain Technocast Ltd,540652,captain technocast
Sintex Plastics Technology Ltd,540653,sintex plastics technology
Globalspace Technologies Ltd,540654,globalspace technologies
SIS Ltd,540673,sis
Cochin Shipyard Ltd,540678,cochin shipyard
SMS Lifesciences India Ltd,540679,sms lifesciences
KIOCL Ltd,540680,kiocl
Chothani Foods Ltd,540681,chothani foods
Smruthi Organics Ltd,540686,smruthi organics
Aditya Birla Capital Ltd,540691,aditya birla capital
Apex Frozen Foods Ltd,540692,apex frozen foods
Shish Industries Ltd,540693,shish
ANG Lifesciences India Ltd,540694,ang lifesciences
Dhruv Wellness Ltd,540695,dhruv wellness
KCD Industries India Ltd,540696,kcd industries
A & M Febcon Ltd,540697,a m febcon
Dixon Technologies (India) Ltd,540699,dixon technologies
Bharat Road Network Ltd,540700,bharat road network
Dishman Carbogen Amcis Ltd,540701,dishman carbogen amcis
Lasa Supergenerics Ltd,540702,lasa supergenerics
Pro Clb Global Ltd,540703,pro clb global
Matrimony.com Ltd,540704,matrimony com
Reliance Home Finance Ltd,540709,reliance home finance
Capacite Infraprojects Ltd,540710,capacite infraprojects
