name,token,normalizedName
ABB India Limited,500002,abb
AEGIS LOGISTICS LTD.,500003,aegis logistics
AMARA RAJA BATTERIES LTD.,500008,amara raja batteries
AMBALAL SARABHAI ENTERPRISES LTD.,500009,ambalal sarabhai enterprises
HOUSING DEVELOPMENT FINANCE CORP.LTD.,500010,housing development finance corp
ANDHRA PETROCHEMICALS LTD.,500012,andhra petrochemicals
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,500013,ansal properties infrastructure
Utique Enterprises Ltd,500014,utique enterprises
ARUNA HOTELS LTD.,500016,aruna hotels
BOMBAY DYEING & MFG.CO.LTD.,500020,bombay dyeing mfg co
Asian Hotels (North) Limited,500023,asian hotels north
Assam Company (India) Limited,500024,assam company
ATUL LTD.,500027,atul
ATV PROJECTS INDIA LTD.,500028,atv projects
AUTOLITE (INDIA) LTD.,500029,autolite
AUTORIDERS FINANCE LTD.,500030,autoriders finance
BAJAJ ELECTRICALS LTD.,500031,bajaj electricals
Bajaj Hindusthan Sugar Limited,500032,bajaj hindusthan sugar
FORCE MOTORS LTD.,500033,force motors
Bajaj Finance Limited,500034,bajaj finance
BALRAMPUR CHINI MILLS LTD.,500038,balrampur chini mills
BANCO PRODUCTS (INDIA) LTD.,500039,banco products
CENTURY TEXTILES & INDUSTRIES LTD.,500040,century textiles
BANNARI AMMAN SUGARS LTD.,500041,bannari amman sugars
BASF INDIA LTD.,500042,basf
BATA INDIA LTD.,500043,bata
Best & Crompton Engg.ltd.,500046,best crompton engg
BEML LTD.,500048,beml
BHARAT ELECTRONICS LTD.,500049,bharat electronics
Bhagawati Gas Limited,500051,bhagawati gas
BHANSALI ENGINEERING POLYMERS LTD.,500052,bhansali engineering polymers
Tata Steel Bsl Ltd,500055,tata steel bsl
ADITYA BIRLA CHEMICALS (INDIA) LTD.,500057,aditya birla chemicals
BIHAR SPONGE IRON LTD.,500058,bihar sponge iron
BINANI INDUSTRIES LTD.,500059,binani
Birla Cable Ltd,500060,birla cable
BLUE STAR LTD.,500067,blue star
DISA INDIA LTD.,500068,disa
Quest Capital Markets Ltd,500069,quest capital markets
BPL LTD.,500074,bpl
Cable Corporation Of India Ltd.,500077,cable corporation of
Oriental Aromatics Ltd,500078,oriental aromatics
CENTURY EXTRUSIONS LTD.,500083,century extrusions
CESC LTD.,500084,cesc
CHAMBAL FERTILISERS & CHEMICALS LTD.,500085,chambal fertilisers chemicals
EXIDE INDUSTRIES LTD.,500086,exide
CIPLA LTD.,500087,cipla
DIC INDIA LTD.,500089,dic
CRISIL LTD.,500092,crisil
CG Power and Industrial Solutions Ltd,500093,cg power and industrial solutions
Wyeth Ltd.,500095,wyeth
DABUR INDIA LTD.,500096,dabur
Dalmia Bharat Sugar and Industries Ltd,500097,dalmia bharat sugar and
ARVIND LTD.,500101,arvind
BALLARPUR INDUSTRIES LTD.,500102,ballarpur
BHARAT HEAVY ELECTRICALS LTD.,500103,bharat heavy electricals
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,hindustan petroleum corporation
IFCI LTD.,500106,ifci
MAHANAGAR TELEPHONE NIGAM LTD.,500108,mahanagar telephone nigam
MANGALORE REFINERY & PETROCHEMICALS LTD.,500109,mangalore refinery petrochemicals
CHENNAI PETROLEUM CORPORATION LTD.,500110,chennai petroleum corporation
RELIANCE CAPITAL LTD.,500111,reliance capital
STATE BANK OF INDIA,500112,state bank of
STEEL AUTHORITY OF INDIA LTD.,500113,steel authority of
Titan Company Limited,500114,titan
IDBI BANK LTD.,500116,idbi bank
DCW LTD.,500117,dcw
DHAMPUR SUGAR MILLS LTD.,500119,dhampur sugar mills
DIAMINES & CHEMICALS LTD.,500120,diamines chemicals
ELANTAS BECK INDIA LTD.,500123,elantas beck
DR.REDDY'S LABORATORIES LTD.,500124,dr reddy s laboratories
E.I.D.-PARRY (INDIA) LTD.,500125,e i d parry
Procter & Gamble Health Ltd,500126,procter gamble health
ELECTROSTEEL CASTINGS LTD.,500128,electrosteel castings
EMPEE SUGARS & CHEMICALS LTD.,500132,empee sugars chemicals
ESAB INDIA LTD.,500133,esab
ESSAR OIL LTD.,500134,essar oil
EPL Ltd,500135,epl
ESTER INDUSTRIES LTD.,500136,ester
Fedders Electric and Engineering Ltd,500139,fedders electric and engineering
FERRO ALLOYS CORPORATION LTD.,500141,ferro alloys corporation
FGP LTD.,500142,fgp
PH CAPITAL LTD.,500143,ph capital
FINOLEX CABLES LTD.,500144,finolex cables
First Leasing Co.of India Ltd.,500145,first leasing co of
John Cockerill India Ltd,500147,john cockerill
UFLEX LTD.,500148,uflex
FOSECO INDIA LTD.,500150,foseco
GOLDEN TOBACCO LTD.,500151,golden tobacco
GANESH BENZOPLAST LTD.,500153,ganesh benzoplast
GARDEN SILK MILLS LTD.,500155,garden silk mills
Metroglobal Limited,500159,metroglobal
GTL LTD.,500160,gtl
PARRYS SUGAR INDUSTRIES LTD.,500162,parrys sugar
GODFREY PHILLIPS INDIA LTD.,500163,godfrey phillips
GODREJ INDUSTRIES LTD.,500164,godrej
KANSAI NEROLAC PAINTS LTD.,500165,kansai nerolac paints
GOODRICKE GROUP LTD.,500166,goodricke group
GOODYEAR INDIA LTD.,500168,goodyear
GTN INDUSTRIES LTD.,500170,gtn
GHCL LTD.,500171,ghcl
GFL Ltd,500173,gfl
GUJARAT LEASE FINANCING LTD.,500174,gujarat lease financing
HCL INFOSYSTEMS LTD.,500179,hcl infosystems
HDFC Bank Ltd,500180,hdfc bank
HERO MOTOCORP LTD.,500182,hero motocorp
HFCL Ltd,500183,hfcl
Himadri Speciality Chemical Ltd,500184,himadri speciality chemical
HINDUSTAN CONSTRUCTION CO.LTD.,500185,hindustan construction co
HINDUSTAN OIL EXPLORATION CO.LTD.,500186,hindustan oil exploration co
Agi Greenpac Ltd,500187,agi greenpac
HINDUSTAN ZINC LTD.,500188,hindustan zinc
NDL Ventures Ltd,500189,ndl ventures
HMT LTD.,500191,hmt
PRAG BOSIMI SYNTHETICS LTD.,500192,prag bosimi synthetics
HLV Ltd,500193,hlv
I G PETROCHEMICALS LTD.,500199,i g petrochemicals
INDIA GLYCOLS LTD.,500201,india glycols
INDIA LEASE DEVELOPMENT LTD.,500202,india lease development
Margo Finance Limited,500206,margo finance
INDO RAMA SYNTHETICS (INDIA) LTD.,500207,indo rama synthetics
INFOSYS LTD.,500209,infosys
INGERSOLL-RAND (INDIA) LTD.,500210,ingersoll rand
INSILCO LTD.,500211,insilco
INTEGRATED FINANCIAL SERVICES LTD.,500212,integrated financial services
INTERNATIONAL TRAVEL HOUSE LTD.,500213,international travel house
ION EXCHANGE (INDIA) LTD.,500214,ion exchange
AGRO TECH FOODS LTD.,500215,agro tech foods
JAIN IRRIGATION SYSTEMS LTD.,500219,jain irrigation systems
JASCH INDUSTRIES LTD.,500220,jasch
JCT ELECTRONICS LTD.,500222,jct electronics
JCT LTD.,500223,jct
JINDAL POLY FILMS LTD.,500227,jindal poly films
JSW STEEL LTD.,500228,jsw steel
UMANG DAIRIES LTD.,500231,umang dairies
KAJARIA CERAMICS LTD.,500233,kajaria ceramics
KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,500234,kakatiya cement sugar
KALYANI STEELS LTD.,500235,kalyani steels
Kanel Industries Limited,500236,kanel
WHIRLPOOL OF INDIA LTD.,500238,whirlpool of
KG DENIM LTD.,500239,kg denim
KINETIC ENGINEERING LTD.,500240,kinetic engineering
KIRLOSKAR BROTHERS LTD.,500241,kirloskar brothers
Kirloskar Industries Ltd,500243,kirloskar
KIRLOSKAR FERROUS INDUSTRIES LTD.,500245,kirloskar ferrous
ENVAIR ELECTRODYNE LTD.,500246,envair electrodyne
KOTAK MAHINDRA BANK LTD.,500247,kotak mahindra bank
Krishna Filament Industries Ltd,500248,krishna filament
KSB Ltd,500249,ksb
L.G.BALAKRISHNAN & BROS.LTD.,500250,l g balakrishnan bros
TRENT LTD.,500251,trent
LAKSHMI MACHINE WORKS LTD.,500252,lakshmi machine works
LIC HOUSING FINANCE LTD.,500253,lic housing finance
UTTAM VALUE STEELS LTD.,500254,uttam value steels
LML LTD.,500255,lml
LOK HOUSING & CONSTRUCTIONS LTD.,500256,lok housing constructions
LUPIN LTD.,500257,lupin
LYKA LABS LTD.,500259,lyka labs
The Ramco Cements Limited,500260,the ramco cements
MAFATLAL INDUSTRIES LTD.,500264,mafatlal
MAHARASHTRA SEAMLESS LTD.,500265,maharashtra seamless
MAHARASHTRA SCOOTERS LTD.,500266,maharashtra scooters
MAJESTIC AUTO LTD.,500267,majestic auto
MANALI PETROCHEMICAL LTD.,500268,manali petrochemical
Max Financial Services Ltd,500271,max financial services
MESCO PHARMACEUTICALS LTD.,500274,mesco pharmaceuticals
MID INDIA INDUSTRIES LTD.,500277,mid india
MIRC ELECTRONICS LTD.,500279,mirc electronics
CENTURY ENKA LTD.,500280,century enka
LORDS CHLORO ALKALI LTD.,500284,lords chloro alkali
SPICEJET LTD.,500285,spicejet
MOREPEN LABORATORIES LTD.,500288,morepen laboratories
MRF LTD.,500290,mrf
HEIDELBERGCEMENT INDIA LTD.,500292,heidelbergcement
NCC Limited,500294,ncc
Vedanta Limited,500295,vedanta
NAHAR SPINNING MILLS LTD.,500296,nahar spinning mills
NATIONAL PEROXIDE LTD.,500298,national peroxide
GRASIM INDUSTRIES LTD.,500300,grasim
NEPC INDIA LTD.,500301,nepc
PIRAMAL ENTERPRISES LTD.,500302,piramal enterprises
ADITYA BIRLA NUVO LTD.,500303,aditya birla nuvo
NIIT LTD.,500304,niit
JAYKAY ENTERPRISES LTD.,500306,jaykay enterprises
NIRLON LTD.,500307,nirlon
Novopan Industries Ltd.,500310,novopan
Oil and Natural Gas Corporation Ltd,500312,oil and natural gas corporation
OIL COUNTRY TUBULAR LTD.,500313,oil country tubular
ORIENTAL HOTELS LTD.,500314,oriental hotels
ORIENTAL BANK OF COMMERCE,500315,oriental bank of commerce
OSWAL AGRO MILLS LTD.,500317,oswal agro mills
Oswal Spinning & Weaving Mills Ltd.,500318,oswal spinning weaving mills
INDIAN SUCROSE LTD.,500319,indian sucrose
PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,500322,panyam cements mineral
RELIANCE INDUSTRIES LTD.,500325,reliance
Pil Italica Lifestyle Ltd,500327,pil italica lifestyle
PENTAMEDIA GRAPHICS LTD.,500329,pentamedia graphics
RAYMOND LTD.,500330,raymond
PIDILITE INDUSTRIES LTD.,500331,pidilite
PIX TRANSMISSIONS LTD.,500333,pix transmissions
BIRLA CORPORATION LTD.,500335,birla corporation
SURYA ROSHNI LTD.,500336,surya roshni
PRIME SECURITIES LTD.,500337,prime securities
Prism Johnson Ltd,500338,prism johnson
Rain Industries Ltd,500339,rain
AMJ Land Holdings Ltd,500343,amj land holdings
PUNJAB COMMUNICATIONS LTD.,500346,punjab communications
RSWM LTD.,500350,rswm
RAJSHREE SUGARS & CHEMICALS LTD.,500354,rajshree sugars chemicals
RALLIS INDIA LTD.,500355,rallis
SHREE RAMA NEWSPRINT LTD.,500356,shree rama newsprint
RAMA PAPER MILLS LTD.,500357,rama paper mills
RAMA PETROCHEMICALS LTD.,500358,rama petrochemicals
Ranbaxy Laboratories Ltd.,500359,ranbaxy laboratories
RAPICUT CARBIDES LTD.,500360,rapicut carbides
Welspun Specialty Solutions Ltd,500365,welspun specialty solutions
ROLTA INDIA LTD.,500366,rolta
RUBFILA INTERNATIONAL LTD.,500367,rubfila international
Patanjali Foods Ltd,500368,patanjali foods
SALORA INTERNATIONAL LTD.,500370,salora international
SAMTEL INDIA LTD.,500371,samtel
SAMTEL COLOR LTD.,500372,samtel color
JINDAL SAW LTD.,500378,jindal saw
JK LAKSHMI CEMENT LTD.,500380,jk lakshmi cement
SHREE CEMENT LTD.,500387,shree cement
SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,500388,shree krishna paper mills
RELIANCE INFRASTRUCTURE LTD.,500390,reliance infrastructure
SOLID CARBIDE TOOLS LTD.,500394,solid carbide tools
STEELCO GUJARAT LTD.,500399,steelco gujarat
TATA POWER CO.LTD.,500400,tata power co
SPML Infra Limited,500402,spml infra
SUNDRAM FASTENERS LTD.,500403,sundram fasteners
SUNFLAG IRON & STEEL CO.LTD.,500404,sunflag iron steel co
SUPREME PETROCHEM LTD.,500405,supreme petrochem
SWARAJ ENGINES LTD.,500407,swaraj engines
TATA ELXSI LTD.,500408,tata elxsi
ACC LTD.,500410,acc
THERMAX LTD.,500411,thermax
THIRUMALAI CHEMICALS LTD.,500412,thirumalai chemicals
THOMAS COOK (INDIA) LTD.,500413,thomas cook
TIMEX GROUP INDIA LTD.,500414,timex group
TOKYO PLAST INTERNATIONAL LTD.,500418,tokyo plast international
TORRENT PHARMACEUTICALS LTD.,500420,torrent pharmaceuticals
TRANSCHEM LTD.,500422,transchem
AMBUJA CEMENTS LTD.,500425,ambuja cements
UTL Industries Limited,500426,utl
UNIPHOS ENTERPRISES LTD.,500429,uniphos enterprises
VARDHMAN HOLDINGS LTD.,500439,vardhman holdings
HINDALCO INDUSTRIES LTD.,500440,hindalco
WEST COAST PAPER MILLS LTD.,500444,west coast paper mills
HINDUSTAN ORGANIC CHEMICALS LTD.,500449,hindustan organic chemicals
MPIL CORPORATION LTD.,500450,mpil corporation
PASUPATI ACRYLON LTD.,500456,pasupati acrylon
Kore Foods Ltd,500458,kore foods
PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,500459,procter gamble hygiene health care
MUKAND LTD.,500460,mukand
Black Box Ltd,500463,black box
Ucal  Ltd,500464,ucal
Varun Shipping Co.ltd.,500465,varun shipping co
HARRISONS MALAYALAM LTD.,500467,harrisons malayalam
FEDERAL BANK LTD.,500469,federal bank
TATA STEEL LTD.,500470,tata steel
SKF India Ltd,500472,skf
ASHOK LEYLAND LTD.,500477,ashok leyland
CUMMINS INDIA LTD.,500480,cummins
TATA COMMUNICATIONS LTD.,500483,tata communications
ABBOTT INDIA LTD.,500488,abbott
BAJAJ HOLDINGS & INVESTMENT LTD.,500490,bajaj holdings investment
BHARAT FORGE LTD.,500493,bharat forge
Escorts Kubota Ltd,500495,escorts kubota
HINDUSTAN MOTORS LTD.,500500,hindustan motors
LARSEN & TOUBRO LTD.,500510,larsen toubro
MAHINDRA & MAHINDRA LTD.,500520,mahindra mahindra
BOSCH LTD.,500530,bosch
PREMIER LTD.,500540,premier
BHARAT PETROLEUM CORPORATION LTD.,500547,bharat petroleum corporation
SIEMENS LTD.,500550,siemens
TATA MOTORS LTD.,500570,tata motors
VOLTAS LTD.,500575,voltas
GREAT EASTERN SHIPPING CO.LTD.,500620,great eastern shipping co
ESSAR PORTS LTD.,500630,essar ports
DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,500645,deepak fertilisers petrochemicals corporation
EXCEL INDUSTRIES LTD.,500650,excel
Garware Hi-Tech Films Ltd,500655,garware hi tech films
GLAXOSMITHKLINE PHARMACEUTICALS LTD.,500660,glaxosmithkline pharmaceuticals
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,500670,gujarat narmada valley fertilizers chemicals
NOVARTIS INDIA LTD.,500672,novartis
Sanofi India Ltd,500674,sanofi
GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,500676,glaxosmithkline consumer healthcare
PFIZER LTD.,500680,pfizer
GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,500690,gujarat state fertilizers chemicals
HINDUSTAN UNILEVER LTD.,500696,hindustan unilever
Akzo Nobel India Limited,500710,akzo nobel
NOCIL LTD.,500730,nocil
TATA CHEMICALS LTD.,500770,tata chemicals
TAMILNADU PETROPRODUCTS LTD.,500777,tamilnadu petroproducts
Zuari Industries Ltd,500780,zuari
NESTLE INDIA LTD.,500790,nestle
Tata Consumer Products Ltd,500800,tata consumer products
ASIAN PAINTS LTD.,500820,asian paints
BRITANNIA INDUSTRIES LTD.,500825,britannia
COLGATE-PALMOLIVE (INDIA) LTD.,500830,colgate palmolive
EIH LTD.,500840,eih
INDIAN HOTELS CO.LTD.,500850,indian hotels co
CASTROL INDIA LTD.,500870,castrol
ITC LTD.,500875,itc
APOLLO TYRES LTD.,500877,apollo tyres
CEAT LTD.,500878,ceat
MODI RUBBER LTD.,500890,modi rubber
FINOLEX INDUSTRIES LTD.,500940,finolex
VALUE INDUSTRIES LTD.,500945,value
STATE BANK OF BIKANER & JAIPUR,501061,state bank of bikaner jaipur
SUNRISE INDUSTRIAL TRADERS LTD.,501110,sunrise industrial traders
GOLD ROCK INVESTMENTS LTD.,501111,gold rock investments
PEOPLES INVESTMENTS LTD.,501144,peoples investments
DALAL STREET INVESTMENTS LTD.,501148,dalal street investments
CENTRUM CAPITAL LTD.,501150,centrum capital
KARTIK INVESTMENTS TRUST LTD.,501151,kartik investments trust
ROSE INVESTMENTS LTD.,501154,rose investments
SURYODAYA INVESTMENT & TRADING COMPANY LTD.,501178,suryodaya investment trading
OSCAR INVESTMENTS LTD.,501179,oscar investments
Maestros Mediline Systems Ltd.,501209,maestros mediline systems
Bhagyodaya Infrastructure Development Ltd,501233,bhagyodaya infrastructure development
TCI FINANCE LTD.,501242,tci finance
KRATOS ENERGY & INFRASTRUCTURE LTD.,501261,kratos energy infrastructure
Shree Rani Sati Investment & Finance Ltd.,501267,shree rani sati investment finance
Antariksh Industries Ltd,501270,antariksh
INDUSTRIAL INVESTMENT TRUST LTD.,501295,industrial investment trust
INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,501298,industrial prudential investments co
TATA INVESTMENT CORPORATION LTD.,501301,tata investment corporation
JAYABHARAT CREDIT LTD.,501311,jayabharat credit
Gromo Trade & Consultancy Ltd,501314,gromo trade consultancy
MOTOR & GENERAL FINANCE LTD.,501343,motor general finance
RAPID INVESTMENTS LTD.,501351,rapid investments
Gujarat Organics Ltd.,501368,gujarat organics
WALCHAND PEOPLEFIRST LTD.,501370,walchand peoplefirst
SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,501386,swastik safe deposit investments
W.H.BRADY & CO.LTD.,501391,w h brady co
TECHNVISION VENTURES LTD.,501421,technvision ventures
SHAILY ENGINEERING PLASTICS LTD.,501423,shaily engineering plastics
BOMBAY BURMAH TRADING CORP.LTD.,501425,bombay burmah trading corp
BOMBAY CYCLE & MOTOR AGENCY LTD.,501430,bombay cycle motor agency
GREAVES COTTON LTD.,501455,greaves cotton
MACK TRADING CO.LTD.,501471,mack trading co
MALABAR TRADING CO.LTD,501473,malabar trading co
MULLER & PHIPPS (INDIA) LTD.,501477,muller phipps
New Sagar Trading Co.ltd.,501479,new sagar trading co
Parekh Distributors Ltd.,501482,parekh distributors
Amalgamated Electricity Co.ltd.,501622,amalgamated electricity co
Anand Projects Ltd,501630,anand projects
INDIANIVESH LTD.,501700,indianivesh
Thana Electric Supply Co.ltd.,501756,thana electric supply co
Central Provinces Railways Co.ltd.,501827,central provinces railways co
COASTAL CORPORATION LTD.,501831,coastal corporation
CHOWGULE STEAMSHIPS LTD.,501833,chowgule steamships
GLOBAL OFFSHORE SERVICES LTD.,501848,global offshore services
DHENU BUILDCON INFRA LTD.,501945,dhenu buildcon infra
ASI Industries Ltd,502015,asi
SAGAR CEMENTS LTD.,502090,sagar cements
DECCAN CEMENTS LTD.,502137,deccan cements
KALYANPUR CEMENTS LTD.,502150,kalyanpur cements
MANGALAM CEMENT LTD.,502157,mangalam cement
OCL INDIA LTD.,502165,ocl
NCL INDUSTRIES LTD.,502168,ncl
SAURASHTRA CEMENT LTD.,502175,saurashtra cement
SHREE DIGVIJAY CEMENT CO.LTD.,502180,shree digvijay cement co
BOMBAY POTTERIES & TILES LTD.,502216,bombay potteries tiles
Borosil Renewables Ltd,502219,borosil renewables
Excel Glasses Ltd.,502223,excel glasses
Lerthai Finance Ltd,502250,lerthai finance
RAASI REFRACTORIES LTD.,502271,raasi refractories
TRIVENI GLASS LTD.,502281,triveni glass
Nilachal Refractories Ltd.,502294,nilachal refractories
Andhra Paper Ltd,502330,andhra paper
AURANGABAD PAPER MILLS LTD.,502352,aurangabad paper mills
BALKRISHNA INDUSTRIES LTD.,502355,balkrishna
MYSORE PAPER MILLS LTD.,502405,mysore paper mills
NATH PULP & PAPER MILLS LTD.,502407,nath pulp paper mills
ORIENT PAPER & INDUSTRIES LTD.,502420,orient paper
CITADEL REALTY AND DEVELOPERS LTD.,502445,citadel realty and developers
ROLLATAINERS LTD.,502448,rollatainers
SESHASAYEE PAPER & BOARDS LTD.,502450,seshasayee paper boards
Sirpur Paper Mills Ltd.,502455,sirpur paper mills
SOLID CONTAINERS LTD.,502460,solid containers
SPECIALITY PAPERS LTD.,502465,speciality papers
RELSON INDIA LTD.,502473,relson
SHREE BHAWANI PAPER MILLS LTD.,502563,shree bhawani paper mills
Nath Industries Ltd,502587,nath
VAPI PAPER MILLS LTD.,502589,vapi paper mills
SINTEX INDUSTRIES LTD.,502742,sintex
Blue Blends (India) Ltd,502761,blue blends
DCM LTD.,502820,dcm
GAEKWAR MILLS LTD.,502850,gaekwar mills
FORBES & COMPANY LTD.,502865,forbes
H.P.COTTON TEXTILE MILLS LTD.,502873,h p cotton textile mills
United Interactive Ltd.,502893,united interactive
Jamshri Realty Ltd,502901,jamshri realty
KATARE SPINNING MILLS LTD.,502933,katare spinning mills
KESORAM INDUSTRIES LTD.,502937,kesoram
LAKSHMI MILLS COMPANY LTD.,502958,lakshmi mills
VARDHMAN TEXTILES LTD.,502986,vardhman textiles
MALWA COTTON SPINNING MILLS LTD.,502995,malwa cotton spinning mills
MODERN INDIA LTD.,503015,modern
PENINSULA LAND LTD.,503031,peninsula land
PASUPATI SPG.& WVG.MILLS LTD.,503092,pasupati spg wvg mills
The Phoenix Mills Ltd,503100,the phoenix mills
MARATHON NEXTGEN REALTY LTD.,503101,marathon nextgen realty
RAJA BAHADUR INTERNATIONAL LTD.,503127,raja bahadur international
RELIANCE CHEMOTEX INDUSTRIES LTD.,503162,reliance chemotex
RUBY MILLS LTD.,503169,ruby mills
SHREE RAM URBAN INFRASTRUCTURE LTD.,503205,shree ram urban infrastructure
SIMPLEX REALTY LTD.,503229,simplex realty
SWAN ENERGY LTD.,503310,swan energy
VICTORIA MILLS LTD.,503349,victoria mills
S.V.TRADING & AGENCIES LTD.,503622,s v trading agencies
SVARAJ TRADING & AGENCIES LTD.,503624,svaraj trading agencies
Kshitiz Investment Ltd.,503626,kshitiz investment
Shell Infotech Ltd.,503630,shell infotech
SHREE SALASAR INVESTMENT LTD.,503635,shree salasar investment
DHANLEELA INVESTMENTS & TRADING COMPANY LTD.,503637,dhanleela investments trading
INDSOYA LTD.,503639,indsoya
Zodiac Ventures Limited,503641,zodiac ventures
VEER ENERGY & INFRASTRUCTURE LTD.,503657,veer energy infrastructure
Sw Investments Ltd,503659,sw investments
Tilak Ventures Ltd,503663,tilak ventures
K K Fincorp Limited,503669,k k fincorp
UNIJOLLY INVESTMENTS CO.LTD.,503671,unijolly investments co
Wagend Infra Venture Limited,503675,wagend infra venture
ELCID INVESTMENTS LTD.,503681,elcid investments
MEDIAONE GLOBAL ENTERTAINMENT LTD.,503685,mediaone global entertainment
HEALTHY INVESTMENTS LTD.,503689,healthy investments
SAHARA ONE MEDIA & ENTERTAINMENT LTD.,503691,sahara one media entertainment
SHREENATH INVESTMENTS CO.LTD.,503696,shreenath investments co
Geodesic Ltd.,503699,geodesic
BANSWARA SYNTEX LTD.,503722,banswara syntex
MODELLA WOOLLENS LTD.,503772,modella woollens
MODIPON LTD.,503776,modipon
Nrc Ltd.,503780,nrc
DIGJAM LTD.,503796,digjam
SHRI DINESH MILLS LTD.,503804,shri dinesh mills
SRF LTD.,503806,srf
SIYARAM SILK MILLS LTD.,503811,siyaram silk mills
SWADESHI POLYTEX LTD.,503816,swadeshi polytex
BIRLA TRANSASIA CARPETS LTD.,503823,birla transasia carpets
FOMENTO RESORTS & HOTELS LTD.,503831,fomento resorts hotels
SHREE RAJASTHAN SYNTEX LTD.,503837,shree rajasthan syntex
SHREE MANUFACTURING CO.LTD.,503863,shree manufacturing co
Priyadarshini Spinning Mills Ltd.,503873,priyadarshini spinning mills
HIND SYNTEX LTD.,503881,hind syntex
SATYAM SILK MILLS LTD.,503893,satyam silk mills
Asian Electronics Ltd.,503940,asian electronics
BHARAT BIJLEE LTD.,503960,bharat bijlee
DIGITAL ELECTRONICS LTD.,503978,digital electronics
ELPRO INTERNATIONAL LTD.,504000,elpro international
EMCO LTD.,504008,emco
GEE LTD.,504028,gee
HIND RECTIFIERS LTD.,504036,hind rectifiers
INDO-NATIONAL LTD.,504058,indo national
ZENSAR TECHNOLOGIES LTD.,504067,zensar technologies
JYOTI LTD.,504076,jyoti
JSL INDUSTRIES LTD.,504080,jsl
KAYCEE INDUSTRIES LTD.,504084,kaycee
INDOKEM LTD.,504092,indokem
PANASONIC ENERGY INDIA COMPANY LTD.,504093,panasonic energy india
NELCO LTD.,504112,nelco
PERMANENT MAGNETS LTD.,504132,permanent magnets
HIGH ENERGY BATTERIES (INDIA) LTD.,504176,high energy batteries
STANDARD BATTERIES LTD.,504180,standard batteries
UNIVERSAL CABLES LTD.,504212,universal cables
W.S.INDUSTRIES (INDIA) LTD.,504220,w s industries
DELTON CABLES LTD.,504240,delton cables
DELTRON LTD.,504256,deltron
LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,504258,lakshmi electrical control systems
KHAITAN ELECTRICALS LTD.,504269,khaitan electricals
Modulex Construction Technologies Ltd,504273,modulex construction technologies
Delta Manufacturing Ltd,504286,delta manufacturing
Polar Industries Ltd.,504288,polar
Rutron International Ltd.,504335,rutron international
Indtradeco Ltd.,504336,indtradeco
Confidence Finance And Trading Limited,504340,confidence finance and trading
Ravindra Energy Ltd,504341,ravindra energy
Sam Leaseco Ltd.,504345,sam leaseco
G.d.trading & Agencies Ltd.,504346,g d trading agencies
EMPOWER INDIA LTD.,504351,empower
Titan Trading & Agencies Ltd.,504353,titan trading agencies
MULTIPURPOSE TRADING & AGENCIES LTD.,504356,multipurpose trading agencies
Turbotech Engineering Ltd.,504358,turbotech engineering
REMI SALES & ENGINEERING LTD.,504360,remi sales engineering
RIDHI SYNTHETICS LTD.,504365,ridhi synthetics
Champion Finsec Ltd.,504367,champion finsec
GRANDMA TRADING & AGENCIES LTD.,504369,grandma trading agencies
ARDI INVESTMENT & TRADING LTD.,504370,ardi investment trading
SOFTBPO GLOBAL SERVICES LTD.,504375,softbpo global services
Nyssa Corporation Limited,504378,nyssa corporation
Flomic Global Logistics Ltd,504380,flomic global logistics
Simplex Trading & Agencies Ltd.,504382,simplex trading agencies
ELF TRADING & CHEMICALS MANUFACTURING LTD.,504387,elf trading chemicals manufacturing
AVTIL Enterprise Ltd,504390,avtil enterprise
Krishna Ventures Limited,504392,krishna ventures
GANESH HOLDINGS LTD.,504397,ganesh holdings
SJ CORPORATION LTD.,504398,sj corporation
UNI ABEX ALLOY PRODUCTS LTD.,504605,uni abex alloy products
SARDA ENERGY & MINERALS LTD.,504614,sarda energy minerals
ANIL SPECIAL STEEL INDUSTRIES LTD.,504629,anil special steel
BWL LTD.,504643,bwl
BHAGWATI AUTOCAST LTD.,504646,bhagwati autocast
BOMBAY WIRE ROPES LTD.,504648,bombay wire ropes
CHASE BRIGHT STEEL LTD.,504671,chase bright steel
UNIVERSAL PRIME ALUMINIUM LTD.,504673,universal prime aluminium
GALADA POWER & TELECOMMUNICATION LTD.,504697,galada power telecommunication
GONTERMANN-PEIPERS (INDIA) LTD.,504701,gontermann peipers
HINDUSTAN WIRES LTD.,504713,hindustan wires
STEEL STRIPS LTD.,504717,steel strips
INDIAN BRIGHT STEEL CO.LTD.,504731,indian bright steel co
INDIAN HUME PIPE CO.LTD.,504741,indian hume pipe co
